file	sha256	table	index	name	type	bind	visibility	section	value	size	undefined	related_name
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24160	phy_reset_after_clk_enable	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104b7a20	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24180	genphy_soft_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104b8bb0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24207	mdio_device_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104ba050	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24331	usb_lock_device_for_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104e1330	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24343	usb_queue_reset_device	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104e2200	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24356	usb_reset_device	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104e5ab4	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24405	usb_hcd_reset_endpoint	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104ec990	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24443	usb_reset_endpoint	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104ef250	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24458	usb_reset_configuration	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104f0a70	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24561	xhci_quiesce	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010503ce8	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24563	xhci_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010503f68	0x0	0	1
